company,code,type,year,date,pdf,title
浦发银行,600000,年报,2015,2016-04-07,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2016-04-07/600000_2015_n.pdf,浦发银行年报
浦发银行,600000,年报摘要,2015,2016-04-07,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2016-04-07/600000_2015_nzy.pdf,浦发银行年报摘要
浦发银行,600000,年报,2016,2017-04-01,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2017-04-01/600000_2016_n.pdf,浦发银行2016年年度报告
浦发银行,600000,年报摘要,2016,2017-04-01,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2017-04-01/600000_2016_nzy.pdf,浦发银行2016年年度报告摘要
浦发银行,600000,年报,2017,2018-04-28,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2018-04-28/600000_2017_n.pdf,浦发银行2017年年度报告
浦发银行,600000,年报摘要,2017,2018-04-28,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2018-04-28/600000_2017_nzy.pdf,浦发银行2017年年度报告摘要
浦发银行,600000,年报,2018,2019-03-26,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2019-03-26/600000_2018_n.pdf,浦发银行2018年年度报告
浦发银行,600000,年报摘要,2018,2019-03-26,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2019-03-26/600000_2018_nzy.pdf,浦发银行2018年年度报告摘要
浦发银行,600000,年报摘要,2019,2020-04-25,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2020-04-25/600000_20200425_55.pdf,浦发银行2019年年度报告摘要
浦发银行,600000,年报,2019,2020-04-25,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2020-04-25/600000_20200425_56.pdf,浦发银行2019年年度报告
浦发银行,600000,年报摘要,2021,2021-03-27,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2021-03-27/600000_20210327_3.pdf,上海浦东发展银行股份有限公司2020年年度报告(摘要)
浦发银行,600000,年报,2021,2021-03-27,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2021-03-27/600000_20210327_4.pdf,上海浦东发展银行股份有限公司2020年年度报告(全文)
浦发银行,600000,年报摘要,2022,2022-04-28,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2022-04-28/600000_20220428_15_19G0jkjs.pdf,上海浦东发展银行股份有限公司2021年度企业社会责任报告关键数据独立有限鉴证报告
浦发银行,600000,年报摘要,2022,2022-04-28,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2022-04-28/600000_20220428_16_SDK7nkhg.pdf,上海浦东发展银行股份有限公司2021年年度资本充足率报告
浦发银行,600000,年报摘要,2022,2022-04-28,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2022-04-28/600000_20220428_5_R6Y0IKEk.pdf,上海浦东发展银行股份有限公司2021年年度报告（摘要）
浦发银行,600000,年报,2022,2022-04-28,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2022-04-28/600000_20220428_6_1IqBqOfe.pdf,上海浦东发展银行股份有限公司2021年年度报告（全文）
浦发银行,600000,年报,2023,2023-04-19,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2023-04-19/600000_20230419_15JF.pdf,上海浦东发展银行股份有限公司2022年年度报告（全文）
浦发银行,600000,年报摘要,2023,2023-04-19,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2023-04-19/600000_20230419_T6L2.pdf,上海浦东发展银行股份有限公司2022年年度报告（摘要）
白云机场,600004,年报,2015,2016-04-29,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2016-04-29/600004_2015_n.pdf,白云机场2015年年度报告
白云机场,600004,年报摘要,2015,2016-04-29,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2016-04-29/600004_2015_nzy.pdf,白云机场2015年年度报告摘要
白云机场,600004,年报,2016,2017-04-29,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2017-04-29/600004_2016_n.pdf,白云机场2016年年度报告
白云机场,600004,年报摘要,2016,2017-04-29,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2017-04-29/600004_2016_nzy.pdf,白云机场2016年年度报告摘要
白云机场,600004,年报,2017,2018-04-21,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2018-04-21/600004_2017_n.pdf,白云机场2017年年度报告
