CS488047707,,,,,,,,,
CS488087500,USD,2023/10/4,573.18,10897057,2023/10/11,OMS,,AP,
CS486038989,,,,,,,,,
CS486038989,USD,2023/10/3,611.05,10897057,2023/10/11,OMS,,AP,
CA488230406,,,,,,,,,
CA488230406,USD,2023/10/3,611.05,10897057,2023/10/11,OMS,,AP,
CS485486014,,,,,,,,,
CS485486014,USD,2023/10/3,611.05,10897057,2023/10/11,OMS,,AP,
CS485497258,,,,,,,,,
CS485497258,USD,2023/10/3,611.05,10897057,2023/10/11,OMS,,AP,
CS485556200,,,,,,,,,
CS485556200,USD,2023/10/3,611.05,10897057,2023/10/11,OMS,,AP,
CS485708723,,,,,,,,,
CS485708723,USD,2023/10/3,611.05,10897057,2023/10/11,OMS,,AP,
CS485849695,,,,,,,,,
CS485849695,USD,2023/10/3,611.05,10897057,2023/10/11,OMS,,AP,
CS485895761,,,,,,,,,
CS485895761,USD,2023/10/3,611.05,10897057,2023/10/11,OMS,,AP,
CS485911871,,,,,,,,,
CS485911871,USD,2023/10/3,611.04,10897057,2023/10/11,OMS,,AP,
CS485984364,,,,,,,,,
CS485984364,USD,2023/10/3,611.05,10897057,2023/10/11,OMS,,AP,
CS486147968,,,,,,,,,
CS486147968,USD,2023/10/3,611.04,10897057,2023/10/11,OMS,,AP,
CS486508947,,,,,,,,,
CS486508947,USD,2023/10/3,611.05,10897057,2023/10/11,OMS,,AP,
CS486800948,,,,,,,,,
CS486800948,USD,2023/10/3,678.93,10897057,2023/10/11,OMS,,AP,
CS486927809,,,,,,,,,
CS486927809,USD,2023/10/3,678.93,10897057,2023/10/11,OMS,,AP,
CS487438523,,,,,,,,,
CS487438523,USD,2023/10/3,678.93,10897057,2023/10/11,OMS,,AP,
CS487447065,,,,,,,,,
CS487447065,USD,2023/10/3,678.93,10897057,2023/10/11,OMS,,AP,
CS487540428,,,,,,,,,
CS487540428,USD,2023/10/3,678.93,10897057,2023/10/11,OMS,,AP,
CS487563426,,,,,,,,,
CS487563426,USD,2023/10/3,678.93,10897057,2023/10/11,OMS,,AP,
CS487566953,,,,,,,,,
CS487566953,USD,2023/10/3,678.93,10897057,2023/10/11,OMS,,AP,
CS487581651,,,,,,,,,
CS487581651,USD,2023/10/3,678.93,10897057,2023/10/11,OMS,,AP,
CS487967097,,,,,,,,,
CS487967097,USD,2023/10/3,678.93,10897057,2023/10/11,OMS,,AP,
CS487983477,,,,,,,,,
CS487983477,USD,2023/10/3,611.05,10897057,2023/10/11,OMS,,AP,
CS488017823,,,,,,,,,
CS488017823,USD,2023/10/3,611.06,10897057,2023/10/11,OMS,,AP,
CS488070472,,,,,,,,,
CS488070472,USD,2023/10/3,611.05,10897057,2023/10/11,OMS,,AP,
CS488268918,,,,,,,,,
CS488268918,USD,2023/10/3,611.05,10897057,2023/10/11,OMS,,AP,
CS488344931,,,,,,,,,
CS488344931,USD,2023/10/3,611.05,10897057,2023/10/11,OMS,,AP,
CA486591980,,,,,,,,,
CA486591980,USD,2023/10/3,611.06,10897057,2023/10/11,OMS,,AP,
CA488001539,,,,,,,,,
CA488001539,USD,2023/10/3,611.05,10897057,2023/10/11,OMS,,AP,
CS484012793,,,,,,,,,
CS484012793,USD,2023/10/3,611.06,10897057,2023/10/11,OMS,,AP,
CS484023339,,,,,,,,,
CS484023339,USD,2023/10/3,611.06,10897057,2023/10/11,OMS,,AP,
CS484046797,,,,,,,,,
CS484046797,USD,2023/10/3,611.06,10897057,2023/10/11,OMS,,AP,
CS484046797,USD,2023/10/23,-14.23,11156277,2023/10/23,OMS,,AP,
CS484061417,,,,,,,,,
CS484061417,USD,2023/10/2,611.07,10816893,2023/10/9,OMS,,AP,
CS484064389,,,,,,,,,
CS484064389,USD,2023/10/3,611.06,10897057,2023/10/11,OMS,,AP,
CS484066965,,,,,,,,,
CS484066965,USD,2023/10/3,611.06,10897057,2023/10/11,OMS,,AP,
CS484197191,,,,,,,,,
CS484197191,USD,2023/10/3,611.06,10897057,2023/10/11,OMS,,AP,
CS485539791,,,,,,,,,
CS485539791,USD,2023/10/3,611.06,10897057,2023/10/11,OMS,,AP,
CS485837351,,,,,,,,,
CS485837351,USD,2023/10/3,611.06,10897057,2023/10/11,OMS,,AP,
CS486260779,,,,,,,,,
CS486260779,USD,2023/10/3,611.06,10897057,2023/10/11,OMS,,AP,
CS486433508,,,,,,,,,
CS486433508,USD,2023/10/3,611.06,10897057,2023/10/11,OMS,,AP,
CS486534759,,,,,,,,,
CS486534759,USD,2023/10/3,611.06,10897057,2023/10/11,OMS,,AP,
CS486538611,,,,,,,,,
CS486538611,USD,2023/10/3,611.06,10897057,2023/10/11,OMS,,AP,
CS486589749,,,,,,,,,
CS486589749,USD,2023/10/3,611.06,10897057,2023/10/11,OMS,,AP,
CS486612762,,,,,,,,,
CS486612762,USD,2023/10/3,611.06,10897057,2023/10/11,OMS,,AP,
CS486936051,,,,,,,,,
CS486936051,USD,2023/10/3,678.93,10897057,2023/10/11,OMS,,AP,
CS486955492,,,,,,,,,
CS486955492,USD,2023/10/3,678.93,10897057,2023/10/11,OMS,,AP,
CS487503985,,,,,,,,,
CS487503985,USD,2023/10/3,678.93,10897057,2023/10/11,OMS,,AP,
CS487967508,,,,,,,,,
CS487967508,USD,2023/10/3,678.93,10897057,2023/10/11,OMS,,AP,
CS487967508,USD,2023/11/24,-18.86,11794287,2023/11/24,OMS,,AP,
CS487984496,,,,,,,,,
CS487984496,USD,2023/10/3,611.06,10897057,2023/10/11,OMS,,AP,
CS488005948,,,,,,,,,
CS488005948,USD,2023/10/3,611.06,10897057,2023/10/11,OMS,,AP,
CS488205301,,,,,,,,,
CS488205301,USD,2023/10/3,611.06,10897057,2023/10/11,OMS,,AP,
CS488205301,USD,2023/10/23,-45.65,11156277,2023/10/23,OMS,,AP,
CS488205301,USD,2023/11/20,-50.03,11706385,2023/11/20,OMS,,AP,
CS488205301,USD,2023/12/14,-305.53,12172763,2023/12/14,OMS,,AP,
CS488205301,USD,2023/12/22,-27.13,12290209,2023/12/22,OMS,,AP,
CS488343838,,,,,,,,,
CS488343838,USD,2023/10/3,611.06,10897057,2023/10/11,OMS,,AP,
CS488395456,,,,,,,,,
CS488395456,USD,2023/10/3,611.05,10897057,2023/10/11,OMS,,AP,
CS488450103,,,,,,,,,
CS488450103,USD,2023/10/3,611.06,10897057,2023/10/11,OMS,,AP,
CS488486919,,,,,,,,,
CS488486919,USD,2023/10/3,611.06,10897057,2023/10/11,OMS,,AP,
CS488029928,,,,,,,,,
CS488029928,USD,2023/10/3,611.05,10897057,2023/10/11,OMS,,AP,
CS488041773,,,,,,,,,
CS488041773,USD,2023/10/3,611.05,10897057,2023/10/11,OMS,,AP,
CS488233131,,,,,,,,,
CS488233131,USD,2023/10/3,611.05,10897057,2023/10/11,OMS,,AP,
CS488247515,,,,,,,,,
CS488247515,USD,2023/10/3,611.05,10897057,2023/10/11,OMS,,AP,
CS488258580,,,,,,,,,
CS488258580,USD,2023/10/3,611.06,10897057,2023/10/11,OMS,,AP,
CS488309531,,,,,,,,,
CS488309531,USD,2023/10/3,611.05,10897057,2023/10/11,OMS,,AP,
CS488329867,,,,,,,,,
CS488329867,USD,2023/10/3,611.05,10897057,2023/10/11,OMS,,AP,
CS488337529,,,,,,,,,
CS488337529,USD,2023/10/3,611.05,10897057,2023/10/11,OMS,,AP,
CS488353843,,,,,,,,,
488353843-CR,USD,2023/10/30,-305.53,11395800,2023/11/6,OMS,,AP,
CS488353843,USD,2023/10/3,611.06,10897057,2023/10/11,OMS,,AP,
CS488367810,,,,,,,,,
CS488367810,USD,2023/10/3,611.05,10897057,2023/10/11,OMS,,AP,
CS488394131,,,,,,,,,
CS488394131,USD,2023/10/3,611.05,10897057,2023/10/11,OMS,,AP,
CS488403116,,,,,,,,,
CS488403116,USD,2023/10/3,611.06,10897057,2023/10/11,OMS,,AP,
CS488435150,,,,,,,,,
CS488435150,USD,2023/10/3,611.06,10897057,2023/10/11,OMS,,AP,
CS488445195,,,,,,,,,
CS488445195,USD,2023/10/3,611.05,10897057,2023/10/11,OMS,,AP,
CS488445518,,,,,,,,,
CS488445518,USD,2023/10/3,611.06,10897057,2023/10/11,OMS,,AP,
CS488464793,,,,,,,,,
CS488464793,USD,2023/10/3,611.06,10897057,2023/10/11,OMS,,AP,
CS488433299,,,,,,,,,
CS488433299,USD,2023/10/5,783.76,10897057,2023/10/11,OMS,,AP,
CS488027364,,,,,,,,,
CS488027364,USD,2023/10/4,287.57,10897057,2023/10/11,OMS,,AP,
CS488028505,,,,,,,,,
CS488028505,USD,2023/10/4,287.57,10897057,2023/10/11,OMS,,AP,
CS488047690,,,,,,,,,
CS488047690,USD,2023/10/4,287.57,10897057,2023/10/11,OMS,,AP,
CS488064488,,,,,,,,,
CS488064488,USD,2023/10/4,287.57,10897057,2023/10/11,OMS,,AP,
CS488142780,,,,,,,,,
CS488142780,USD,2023/10/4,287.57,10897057,2023/10/11,OMS,,AP,
CS488164976,,,,,,,,,
CS488164976,USD,2023/10/4,287.57,10897057,2023/10/11,OMS,,AP,
CS488169200,,,,,,,,,
CS488169200,USD,2023/10/4,287.57,10897057,2023/10/11,OMS,,AP,
CS488172214,,,,,,,,,
CS488172214,USD,2023/10/4,287.57,10897057,2023/10/11,OMS,,AP,
CS488192375,,,,,,,,,
CS488192375,USD,2023/10/4,287.57,10897057,2023/10/11,OMS,,AP,
CS488212876,,,,,,,,,
CS488212876,USD,2023/10/4,287.57,10897057,2023/10/11,OMS,,AP,
CS488329357,,,,,,,,,
CS488329357,USD,2023/10/4,287.57,10897057,2023/10/11,OMS,,AP,
CS488348187,,,,,,,,,
CS488348187,USD,2023/10/4,287.57,10897057,2023/10/11,OMS,,AP,
CS488445008,,,,,,,,,
CS488445008,USD,2023/10/4,287.57,10897057,2023/10/11,OMS,,AP,
CS488435167,,,,,,,,,
CS488435167,USD,2023/10/4,287.57,10897057,2023/10/11,OMS,,AP,
CS488448223,,,,,,,,,
CS488448223,USD,2023/10/4,287.57,10897057,2023/10/11,OMS,,AP,
CA488027451,,,,,,,,,
CA488027451,USD,2023/10/4,118.92,10897057,2023/10/11,OMS,,AP,
CA488027467,,,,,,,,,
CA488027467,USD,2023/10/5,49.73,10897057,2023/10/11,OMS,,AP,
CA488027441,,,,,,,,,
CA488027441,USD,2023/10/4,118.92,10897057,2023/10/11,OMS,,AP,
CA488334991,,,,,,,,,
CA488334991,USD,2023/10/4,118.92,10897057,2023/10/11,OMS,,AP,
CA488334993,,,,,,,,,
CA488334993,USD,2023/10/4,49.73,10897057,2023/10/11,OMS,,AP,
CA488334989,,,,,,,,,
CA488334989,USD,2023/10/4,118.92,10897057,2023/10/11,OMS,,AP,
CA488238452,,,,,,,,,
CA488238452,USD,2023/10/4,118.92,10897057,2023/10/11,OMS,,AP,
CA488238454,,,,,,,,,
CA488238454,USD,2023/10/4,49.73,10897057,2023/10/11,OMS,,AP,
CA488238451,,,,,,,,,
CA488238451,USD,2023/10/4,118.92,10897057,2023/10/11,OMS,,AP,
CS486958583,,,,,,,,,
CS486958583,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS486970251,,,,,,,,,
CS486970251,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS486970469,,,,,,,,,
CS486970469,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS486973261,,,,,,,,,
CS486973261,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS486973746,,,,,,,,,
CS486973746,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS486983801,,,,,,,,,
CS486983801,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS486992976,,,,,,,,,
CS486992976,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS486993242,,,,,,,,,
CS486993242,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS486995765,,,,,,,,,
CS486995765,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS487013224,,,,,,,,,
CS487013224,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS487013460,,,,,,,,,
CS487013460,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS487042601,,,,,,,,,
CS487042601,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS487053522,,,,,,,,,
CS487053522,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS487062812,,,,,,,,,
CS487062812,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS487091978,,,,,,,,,
CS487091978,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS487092460,,,,,,,,,
CS487092460,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS487098334,,,,,,,,,
CS487098334,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS487107098,,,,,,,,,
CS487107098,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS487115724,,,,,,,,,
CS487115724,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS487118091,,,,,,,,,
CS487118091,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS487119200,,,,,,,,,
CS487119200,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS487130868,,,,,,,,,
CS487130868,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS487138257,,,,,,,,,
CS487138257,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS487151941,,,,,,,,,
CS487151941,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS487176407,,,,,,,,,
CS487176407,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS487195104,,,,,,,,,
CS487195104,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS487208193,,,,,,,,,
CS487208193,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS487254775,,,,,,,,,
CS487254775,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS487284232,,,,,,,,,
CS487284232,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS487288913,,,,,,,,,
CS487288913,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS487290823,,,,,,,,,
CS487290823,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS487291118,,,,,,,,,
CS487291118,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS487300113,,,,,,,,,
CS487300113,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS487305910,,,,,,,,,
CS487305910,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS487307521,,,,,,,,,
CS487307521,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS487311012,,,,,,,,,
CS487311012,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS487319050,,,,,,,,,
CS487319050,USD,2023/10/4,290.47,10897057,2023/10/11,OMS,,AP,
CS487335690,,,,,,,,,
