序号,股票代码,股票简称,最新价,涨跌幅(%),PE(TTM),PE(静),市净率,PEG值,市销率,市现率,所属行业,收益,ROE,同比,净资产,总股本,净利率,总营收,流通股,负债率,净利润,PE(动),总值,毛利率,流值,每股未分配利润
203,000638,万方发展,6.93,-3.212290502793,43.61411436,35.24151474,13.4702033,3.8609306e-05,7.84528901,-48.64336858,软件开发,-0.022140685,-3.95,-241.846732597089,0.5144688,309400000.0,-6.5134707965,106468756.93,308159050.0,54.0166754293,-6850327.82,-240.17,2193646000.0,13.5224333458,2184847664.5,-0.950506271429
204,000639,西王食品,4.66,0.431034482759,-79.64739565,27.40385339,1.27307131,2.207422757443,0.82386475,150.69881752,食品饮料,-0.059315378,-1.66,-135.04775815228,3.6604391,1079428095.0,-1.4714467108,4630063812.85,1079426772.0,42.0392578225,-64026685.83,-59.3,5062517765.55,16.76902206,5062511560.68,0.908825298576
205,000650,仁和药业,6.3,0.961538461538,14.77904338,13.26208409,1.5690384,0.936927761112,1.72189077,11.149741,中药,0.326055509,8.28,-13.008876031113,4.0151981,1399938234.0,14.745538803899999,3845780533.16,1342318959.0,11.8079608818,456457572.95,14.33,8721615197.82,36.1585029216,8362647114.570001,2.18520128093
206,000651,格力电器,32.16,-1.258827141541,7.04060356,7.85241546,1.89217373,1.837494851576,0.91260863,10.12265708,家电行业,3.250365006,17.94,16.998310158191,16.9963252,5631405741.0,11.8267638009,148343664696.65,5587489552.0,71.5001524147,18304124152.74,7.46,182119661663.94003,25.5401276635,180699412111.68002,16.547969279683
207,000652,泰达股份,4.01,-1.474201474201,25.24887097,24.55703745,1.08158947,1.120036388781,0.27196669,-4.69949119,综合行业,0.091874837,2.5,-4.643870144458,3.7075065,1475573852.0,0.7028261559,14333682982.79,1474454109.0,83.3773095339,135568107.26,32.98,5961318362.08,5.6525442611,5956794600.36,1.866575757375
208,000655,金岭矿业,6.52,-2.395209580838,-85.23321476,30.33458062,1.26802488,5.929973681175,2.6788311,10.88604315,钢铁行业,0.335033504,6.67,-46.520058055092,5.1418549,595340230.0,18.244986961400002,1127975611.63,595340230.0,13.2883881727,199458923.14,14.69,3905431908.7999997,25.9340974267,3905431908.7999997,2.736467306804
209,000656,金科股份,1.89,-3.076923076923,-1.93687475,2.80290758,0.33246745,0.078521151751,0.10964758,0.73596483,房地产开发,-0.802182804,-13.7,-194.606426647587,5.684767,5339715816.0,-10.4255670963,43414599810.31,5312117992.0,79.4767406926,-4283428204.16,-1.78,10145460050.4,6.0444593242,10093024184.8,2.548081686904
210,000657,中钨高新,16.05,-2.490886998785,32.65872095,32.71940891,3.21510636,0.206947832532,1.39488871,33.70927787,小金属,0.370618939,7.48,0.246555577795,4.9920588,1075526842.0,4.9403443393,9971291326.62,947694430.0,45.0841751672,398610617.21,32.4,17219184740.420002,16.728027868,15172587824.300001,0.768754263039
211,000659,珠海中富,3.06,0,-35.41552766,152.19718851,7.11762438,0.634774926733,2.91322552,15.3929293,包装材料,-0.021220332,-4.8,-124.880811841879,0.4299187,1285702520.0,-2.5761650948,1083841382.54,1285702520.0,79.744260679,-27283034.96,-108.5,3947106736.3999996,17.5580471659,3947106736.3999996,-1.153657793025
212,000661,长春高新,168.07,-0.444260158749,16.69277727,18.10294844,3.91635693,0.748930485074,5.59642827,21.27344854,生物制品,8.560520671,21.91,10.08592500837,42.9148831,404720290.0,37.037227875700005,9646227873.97,402020052.0,20.8947093102,3464616408.42,14.59,67406164299.50001,88.8151450686,66956439660.600006,32.51366502055
